                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                 1.8048,                0.86937,                0.97408,                0.91511,                0.86133,                0.88021,                0.37392,                  1.942,                0.84662,                 1.0178,              0.0039016,              0.0039016,              0.0039016
                     79,                 1.7735,                 0.8593,                0.97224,                0.89956,                0.86968,                   0.88,                0.36641,                 1.9684,                0.84608,                 1.0228,              0.0038224,              0.0038224,              0.0038224
                     80,                 1.7672,                0.83127,                0.97174,                0.90557,                0.86517,                0.87671,                0.37084,                 1.9945,                0.85225,                 1.0254,              0.0037432,              0.0037432,              0.0037432
                     81,                 1.7854,                0.84591,                0.97898,                0.90604,                0.84891,                0.88319,                0.36138,                 1.9974,                0.86723,                 1.0269,               0.003664,               0.003664,               0.003664
                     82,                 1.7574,                 0.8279,                0.98027,                0.91002,                0.85325,                0.87738,                0.36516,                 1.9765,                0.84881,                  1.025,              0.0035848,              0.0035848,              0.0035848
                     83,                 1.7523,                0.81575,                0.97223,                0.91575,                0.87333,                0.89101,                0.37505,                 1.9299,                0.83472,                   1.01,              0.0035056,              0.0035056,              0.0035056
                     84,                 1.7709,                0.83346,                0.98393,                0.90624,                 0.8606,                0.88315,                0.36886,                 1.9556,                0.83192,                 1.0197,              0.0034264,              0.0034264,              0.0034264
                     85,                 1.7555,                0.82215,                 0.9752,                0.90344,                0.85563,                0.86936,                0.36469,                 1.9625,                0.84027,                 1.0216,              0.0033472,              0.0033472,              0.0033472
                     86,                 1.7622,                0.81357,                0.96982,                 0.9207,                0.85277,                 0.8797,                0.36375,                 1.9989,                0.84729,                 1.0284,               0.003268,               0.003268,               0.003268
                     87,                 1.7711,                0.82569,                0.97047,                0.90053,                0.85495,                0.86931,                0.36662,                 1.9614,                0.84255,                 1.0155,              0.0031888,              0.0031888,              0.0031888
                     88,                 1.7579,                0.82844,                0.96364,                0.91874,                0.85827,                0.88327,                0.37476,                 1.9527,                0.82363,                 1.0221,              0.0031096,              0.0031096,              0.0031096
